"","Catchsim","Year","Catchest","Scenario"
"398",412.596847894632,2019,415.22595,8
"399",330.094863390624,2020,345.98655,8
"400",435.7610532402,2021,446.9598,8
"401",475.377308511221,2022,478.19235,8
"402",531.164849999562,2023,537.03635,8
"403",684.60030756435,2024,685.49825,8
"404",781.526465210397,2025,785.4717,8
"405",985.89225131163,2026,977.5068,8
"406",1042.87034856998,2027,1049.697,8
"407",1419.7457257788,2028,1392.7455,8
"408",1415.01502676101,2029,1431.1125,8
"409",2037.13875023925,2030,1958.4035,8
"410",1862.12198096993,2031,1865.195,8
"411",2513.36744057624,2032,2528.5845,8
"412",2357.52941779344,2033,2355.2805,8
"413",2883.54386153425,2034,2928.368,8
"414",2629.95968730735,2035,2634.012,8
"415",2717.14635714704,2036,2723.8635,8
"416",2528.46320283514,2037,2515.3555,8
"417",10222.2117404492,1986,9885.1765,9
"418",9552.78922229662,1987,9613.54,9
"419",10371.7186038432,1988,10404.715,9
"420",8661.99725402585,1989,8689.751,9
"421",14190.2337174231,1990,14181.005,9
"422",17983.2863255155,1991,17979.41,9
"423",16866.2860547185,1992,16914.745,9
"424",11264.5927687408,1993,11257.33,9
"425",7569.7294364631,1994,7573.162,9
"426",5812.68752603277,1995,5791.9585,9
"427",5004.94271390847,1996,5018.559,9
"428",5452.39682951323,1997,5470.458,9
"429",4213.11884967446,1998,4209.8095,9
"430",3321.00345107869,1999,3320.4,9
"431",2429.52995882958,2000,2439.2245,9
"432",3527.58635573087,2001,3529.2005,9
"433",4393.98626538913,2002,4398.593,9
"434",4240.30130518796,2003,4241.7295,9
"435",4684.84266674882,2004,4685.64,9
"436",4707.14898920724,2005,4707.857,9
"437",5284.61296808407,2006,5303.3805,9
"438",3162.68866177007,2007,3169.058,9
"439",3897.5212219248,2008,3891.0485,9
"440",5274.08022463136,2009,5278.8705,9
"441",5663.61270731584,2010,5664.8855,9
"442",5398.15407044603,2011,5400.371,9
"443",5152.42581169981,2012,5175.01,9
"444",3039.01853263798,2013,3042.9725,9
"445",1947.80968159971,2014,1945.395,9
"446",1245.11330805809,2015,1241.429,9
"447",260.642551934867,2016,260.17915,9
"448",580.032677377118,2017,579.0222,9
"449",860.913139705072,2018,862.1796,9
"450",97.1513578368833,2019,97.253255,9
"451",135.398189080762,2020,136.35955,9
"452",181.767529769173,2021,183.16575,9
"453",399.871581715817,2022,398.47485,9
"454",525.084312247086,2023,527.09975,9
"455",1164.32593004812,2024,1160.621,9
"456",1315.37956199057,2025,1314.797,9
"457",1996.66185472538,2026,2002.6805,9
"458",2177.18458551542,2027,2175.6505,9
"459",2499.26770581179,2028,2495.0765,9
"460",2585.06915832115,2029,2595.2965,9
"461",2787.29687388638,2030,2781.765,9
"462",2778.95055087379,2031,2794.3365,9
"463",2805.90404114607,2032,2781.115,9
"464",2567.91869886323,2033,2574.6905,9
"465",2469.62898800871,2034,2490.5255,9
"466",2272.34911451673,2035,2246.495,9
"467",2024.35546720788,2036,2029.522,9
"468",1911.02653476863,2037,1917.1625,9
"469",10289.8306405873,1986,9850.589,10
"470",9568.90876538186,1987,9647.4855,10
"471",10380.2783849561,1988,10399.88,10
"472",8662.93908895977,1989,8677.421,10
"473",14193.1047517814,1990,14212.115,10
"474",17984.3123062584,1991,17972.12,10
"475",16866.5428072117,1992,16904.385,10
"476",11264.6580394228,1993,11265.945,10
"477",7569.74522169794,1994,7565.355,10
"478",5812.69002346576,1995,5813.898,10
"479",5004.94311675296,1996,5002.8225,10
"480",5452.39694017899,1997,5457.1765,10
"481",4213.1188805347,1998,4202.085,10
"482",3321.00346089636,1999,3316.7925,10
"483",2429.52996168758,2000,2423.919,10
"484",3527.58635731207,2001,3516.837,10
"485",4393.98626611506,2002,4394.535,10
"486",4240.30130544608,2003,4237.786,10
"487",4684.84266687781,2004,4697.386,10
"488",4707.14898927461,2005,4710.7565,10
"489",5284.61296811963,2006,5266.9545,10
"490",3162.68866177915,2007,3167.135,10
"491",3897.52122192913,2008,3909.2015,10
"492",5274.0802246337,2009,5266.626,10
"493",5663.61270731675,2010,5661.321,10
"494",5398.15407044635,2011,5399.7755,10
"495",5152.42581169992,2012,5160.164,10
"496",3039.018532638,2013,3047.6575,10
"497",1947.80968159971,2014,1954.0325,10
"498",1245.11330805809,2015,1247.8265,10
"499",260.642551934867,2016,262.40515,10
"500",580.032677377118,2017,583.0316,10
"501",860.913139705072,2018,860.379,10
"502",139.914235086169,2019,139.17855,10
"503",172.374370124236,2020,172.37655,10
"504",230.758154287163,2021,228.00075,10
"505",440.079331100255,2022,438.85255,10
"506",577.445194252513,2023,577.8736,10
"507",1136.12381596641,2024,1131.565,10
"508",1300.62420989061,2025,1304.494,10
"509",2007.14650549531,2026,1999.336,10
"510",2190.42071912804,2027,2189.2055,10
"511",2466.35348418772,2028,2489.0315,10
"512",2568.1208552557,2029,2584.762,10
"513",2791.17969785812,2030,2830.846,10
"514",2791.08468904584,2031,2781.94,10
"515",2792.29623377013,2032,2772.506,10
"516",2563.94891887758,2033,2582.615,10
"517",2445.75658091395,2034,2458.013,10
"518",2263.23897482161,2035,2261.6905,10
"519",2018.66454579185,2036,2026.731,10
"520",1891.92152503035,2037,1883.2005,10
"521",10253.7607721224,1986,9847.064,11
"522",9572.94844497656,1987,9611.35,11
"523",10379.3867788537,1988,10384.98,11
"524",8662.57349691685,1989,8650.352,11
"525",14192.4838724694,1990,14225.61,11
"526",17984.0904314432,1991,18037.05,11
"527",16866.4872828636,1992,16828.75,11
"528",11264.6439242256,1993,11288.33,11
"529",7569.74180804121,1994,7579.01,11
"530",5812.6894833801,1995,5818.959,11
"531",5004.94302963529,1996,5011.722,11
"532",5452.39691624682,1997,5477.585,11
"533",4213.11887386098,1998,4200.398,11
"534",3321.00345877323,1999,3324.965,11
"535",2429.52996106952,2000,2426.704,11
"536",3527.58635697013,2001,3533.622,11
"537",4393.98626595807,2002,4381.449,11
"538",4240.30130539026,2003,4251.411,11
"539",4684.84266684992,2004,4696.439,11
"540",4707.14898926004,2005,4732.815,11
"541",5284.61296811194,2006,5286.751,11
"542",3162.68866177719,2007,3157.14,11
"543",3897.5212219282,2008,3905.644,11
"544",5274.08022463319,2009,5292.243,11
"545",5663.61270731655,2010,5665.225,11
"546",5398.15407044628,2011,5395.574,11
"547",5152.4258116999,2012,5153.468,11
"548",3039.018532638,2013,3036.691,11
"549",1947.80968159971,2014,1941.688,11
"550",1245.11330805809,2015,1243.034,11
"551",260.642551934867,2016,259.9847,11
"552",580.032677377118,2017,582.3891,11
"553",860.913139705072,2018,863.0786,11
"554",396.030476493524,2019,393.1906,11
"555",506.846456862728,2020,507.7744,11
"556",635.907438931225,2021,635.1472,11
"557",794.651172905694,2022,796.2537,11
"558",993.828805562873,2023,984.9011,11
"559",1131.22344617583,2024,1135.465,11
"560",1315.8124861049,2025,1331.956,11
"561",1558.37492911967,2026,1560.587,11
"562",1770.17463948432,2027,1786.16,11
"563",2015.57821239222,2028,2027.86,11
"564",2168.80997542447,2029,2175.034,11
"565",2528.18623851338,2030,2539.202,11
"566",2558.68681925467,2031,2549.1,11
"567",2605.42142107771,2032,2626.893,11
"568",2426.02270755767,2033,2441.257,11
"569",2344.27025022361,2034,2337.815,11
"570",2160.83389503467,2035,2175.957,11
"571",1979.46073345093,2036,1974.139,11
"572",1860.44908474085,2037,1874.263,11
"573",10275.1355743874,1986,9890.1085,12
"574",9576.33873613808,1987,9625.4995,12
"575",10385.0866537297,1988,10416.735,12
"576",8667.07890829656,1989,8690.0225,12
"577",14194.3601702031,1990,14281.17,12
"578",17984.7609372967,1991,18018.65,12
"579",16866.6550774842,1992,16894.82,12
"580",11264.6865803618,1993,11293.39,12
"581",7569.75212411432,1994,7576.8085,12
"582",5812.69111551935,1995,5797.0255,12
"583",5004.94329290494,1996,5006.9435,12
"584",5452.39698856986,1997,5460.3825,12
"585",4213.11889402897,1998,4218.3045,12
"586",3321.00346518934,1999,3325.649,12
"587",2429.52996293731,2000,2427.898,12
"588",3527.58635800349,2001,3527.0235,12
"589",4393.98626643249,2002,4388.49,12
"590",4240.30130555895,2003,4255.072,12
"591",4684.84266693421,2004,4703.2635,12
"592",4707.14898930407,2005,4716.1,12
"593",5284.61296813518,2006,5278.3925,12
"594",3162.68866178312,2007,3166.304,12
"595",3897.52122193103,2008,3904.023,12
"596",5274.08022463472,2009,5271.932,12
"597",5663.61270731715,2010,5685.2065,12
"598",5398.15407044648,2011,5416.4235,12
"599",5152.42581169997,2012,5161.4725,12
"600",3039.01853263801,2013,3042.522,12
"601",1947.80968159971,2014,1944.621,12
"602",1245.11330805809,2015,1242.0765,12
"603",260.642551934867,2016,261.6213,12
"604",580.032677377118,2017,580.0741,12
"605",860.913139705072,2018,861.7859,12
"606",545.497696060771,2019,549.8008,12
"607",545.50306547024,2020,540.3198,12
"608",678.137465221583,2021,675.40815,12
"609",386.99938225572,2022,389.30815,12
"610",519.114988196265,2023,517.70575,12
"611",522.985033399543,2024,527.6356,12
"612",644.16839318107,2025,643.025,12
"613",749.671076073547,2026,752.52925,12
"614",883.253466899085,2027,883.3406,12
"615",1075.23759228058,2028,1073.061,12
"616",1199.28889323211,2029,1198.0815,12
"617",1537.78319698678,2030,1543.0995,12
"618",1637.70894289577,2031,1644.4835,12
"619",2161.86539883339,2032,2171.2875,12
"620",2076.95926503533,2033,2074.015,12
"621",2687.01766735875,2034,2723.4815,12
"622",2475.59255284223,2035,2492.649,12
"623",2719.34972429593,2036,2716.7235,12
"624",2417.74355220579,2037,2430.191,12
"625",11039.0600392335,1986,10683.325,13
"626",11364.9635975008,1987,11368.395,13
"627",9115.19368614223,1988,9151.282,13
"628",14986.4383609407,1989,14935.805,13
"629",18482.9313858259,1990,18362.735,13
"630",17279.7077462695,1991,17160.705,13
"631",11570.258902688,1992,11544.065,13
"632",7614.43967380654,1993,7584.2535,13
"633",5755.21643835999,1994,5719.044,13
"634",4938.13612675742,1995,4908.676,13
"635",5362.6021220488,1996,5334.1205,13
"636",4106.21550640823,1997,4077.0165,13
"637",3210.60388967681,1998,3204.263,13
"638",2332.84667275837,1999,2329.2435,13
"639",3369.37939432805,2000,3375.525,13
"640",4168.64203719175,2001,4160.801,13
"641",4002.82826817962,2002,4011.246,13
"642",4424.91509097516,2003,4433.298,13
"643",4443.68621701334,2004,4447.9935,13
"644",5062.12804871466,2005,5063.6395,13
"645",3067.88701756412,2006,3068.6975,13
"646",3798.59500159924,2007,3811.389,13
"647",5151.7544685831,2008,5160.485,13
"648",5565.33333296507,2009,5556.2245,13
"649",5339.02029221318,2010,5333.007,13
"650",5109.9707207436,2011,5098.246,13
"651",3032.40778800644,2012,3026.4785,13
"652",1952.69883512835,2013,1933.671,13
"653",1242.39065976931,2014,1227.9175,13
"654",260.327717992317,2015,259.96695,13
"655",578.949825917599,2016,581.4228,13
"656",857.488542766298,2017,864.0018,13
"657",515.712106409548,2018,515.7286,13
"658",222.926279094082,2019,222.16315,13
"659",306.479652937148,2020,307.3775,13
"660",380.56461491246,2021,383.0944,13
"661",701.683447057718,2022,699.608,13
