"","rhoSSB","Year","Scenario"
"608",0.02229028292576,2031,11
"609",0.0209139629118146,2032,11
"610",0.0208759099416735,2033,11
"611",0.0186237491259016,2034,11
"612",0.021226576308867,2035,11
"613",0.0275846158887204,2036,11
"614",0.0276930253831816,2037,11
"615",0.0293407352744973,2038,11
"616",0.0299278868484599,2039,11
"617",NA,1984,12
"618",NA,1985,12
"619",NA,1986,12
"620",NA,1987,12
"621",NA,1988,12
"622",NA,1989,12
"623",NA,1990,12
"624",NA,1991,12
"625",NA,1992,12
"626",NA,1993,12
"627",NA,1994,12
"628",NA,1995,12
"629",NA,1996,12
"630",NA,1997,12
"631",NA,1998,12
"632",NA,1999,12
"633",NA,2000,12
"634",NA,2001,12
"635",NA,2002,12
"636",NA,2003,12
"637",NA,2004,12
"638",NA,2005,12
"639",NA,2006,12
"640",NA,2007,12
"641",NA,2008,12
"642",NA,2009,12
"643",NA,2010,12
"644",NA,2011,12
"645",NA,2012,12
"646",NA,2013,12
"647",NA,2014,12
"648",NA,2015,12
"649",NA,2016,12
"650",NA,2017,12
"651",NA,2018,12
"652",NA,2019,12
"653",0.00742217776746167,2020,12
"654",0.00253894688569415,2021,12
"655",0.00356331086782595,2022,12
"656",0.0145508882937749,2023,12
"657",0.0138235636897997,2024,12
"658",0.0120837038961047,2025,12
"659",0.0136279246422377,2026,12
"660",0.0137881071777353,2027,12
"661",0.00893585208284594,2028,12
"662",0.00440898959912799,2029,12
"663",0.00586753788109806,2030,12
"664",0.00347300989206757,2031,12
"665",-0.00165307272749706,2032,12
"666",-0.00266565037475073,2033,12
"667",-0.00139331781004968,2034,12
"668",0.0025025631769776,2035,12
"669",0.00498018170062686,2036,12
"670",0.00355905224214059,2037,12
"671",0.0105769350299849,2038,12
"672",0.019177245665764,2039,12
"673",NA,1984,13
"674",NA,1985,13
"675",NA,1986,13
"676",NA,1987,13
"677",NA,1988,13
"678",NA,1989,13
"679",NA,1990,13
"680",NA,1991,13
"681",NA,1992,13
"682",NA,1993,13
"683",NA,1994,13
"684",NA,1995,13
"685",NA,1996,13
"686",NA,1997,13
"687",NA,1998,13
"688",NA,1999,13
"689",NA,2000,13
"690",NA,2001,13
"691",NA,2002,13
"692",NA,2003,13
"693",NA,2004,13
"694",NA,2005,13
"695",NA,2006,13
"696",NA,2007,13
"697",NA,2008,13
"698",NA,2009,13
"699",NA,2010,13
"700",NA,2011,13
"701",NA,2012,13
"702",NA,2013,13
"703",NA,2014,13
"704",NA,2015,13
"705",NA,2016,13
"706",NA,2017,13
"707",NA,2018,13
"708",NA,2019,13
"709",0.114573957943961,2020,13
"710",0.164404473301477,2021,13
