"","rhoF","Year","Scenario"
"728",-0.151308145424765,2039,13
"729",NA,1984,14
"730",NA,1985,14
"731",NA,1986,14
"732",NA,1987,14
"733",NA,1988,14
"734",NA,1989,14
"735",NA,1990,14
"736",NA,1991,14
"737",NA,1992,14
"738",NA,1993,14
"739",NA,1994,14
"740",NA,1995,14
"741",NA,1996,14
"742",NA,1997,14
"743",NA,1998,14
"744",NA,1999,14
"745",NA,2000,14
"746",NA,2001,14
"747",NA,2002,14
"748",NA,2003,14
"749",NA,2004,14
"750",NA,2005,14
"751",NA,2006,14
"752",NA,2007,14
"753",NA,2008,14
"754",NA,2009,14
"755",NA,2010,14
"756",NA,2011,14
"757",NA,2012,14
"758",NA,2013,14
"759",NA,2014,14
"760",NA,2015,14
"761",NA,2016,14
"762",NA,2017,14
"763",NA,2018,14
"764",NA,2019,14
"765",-0.126406182098776,2020,14
"766",-0.160313112009316,2021,14
"767",-0.186443247423795,2022,14
"768",-0.210965303161225,2023,14
"769",-0.23613732590285,2024,14
"770",-0.257293657377127,2025,14
"771",-0.28053361423146,2026,14
"772",-0.331394069336589,2027,14
"773",-0.359815590069475,2028,14
"774",-0.361329626281358,2029,14
"775",-0.346205526352134,2030,14
"776",-0.321375497986328,2031,14
"777",-0.286862924251139,2032,14
"778",-0.245935925754544,2033,14
"779",-0.209694946791668,2034,14
"780",-0.179532365180499,2035,14
"781",-0.155350806824977,2036,14
"782",-0.144363201723726,2037,14
"783",-0.150473082983083,2038,14
"784",-0.160788027334168,2039,14
"785",NA,1984,15
"786",NA,1985,15
"787",NA,1986,15
"788",NA,1987,15
"789",NA,1988,15
"790",NA,1989,15
"791",NA,1990,15
"792",NA,1991,15
"793",NA,1992,15
"794",NA,1993,15
"795",NA,1994,15
"796",NA,1995,15
"797",NA,1996,15
"798",NA,1997,15
"799",NA,1998,15
"800",NA,1999,15
"801",NA,2000,15
"802",NA,2001,15
"803",NA,2002,15
"804",NA,2003,15
"805",NA,2004,15
"806",NA,2005,15
"807",NA,2006,15
"808",NA,2007,15
"809",NA,2008,15
"810",NA,2009,15
"811",NA,2010,15
"812",NA,2011,15
"813",NA,2012,15
"814",NA,2013,15
"815",NA,2014,15
"816",NA,2015,15
"817",NA,2016,15
"818",NA,2017,15
"819",NA,2018,15
"820",NA,2019,15
"821",-0.129572039250551,2020,15
"822",-0.167405369114923,2021,15
"823",-0.204778423625894,2022,15
"824",-0.23850886362307,2023,15
"825",-0.255601708888806,2024,15
"826",-0.268214662481624,2025,15
"827",-0.264312632999346,2026,15
"828",-0.277094472438658,2027,15
"829",-0.266553234374916,2028,15
"830",-0.256380209271771,2029,15
"831",-0.238941410782626,2030,15
"832",-0.222392922848733,2031,15
"833",-0.215630240609589,2032,15
"834",-0.208944592766512,2033,15
"835",-0.205256499786183,2034,15
"836",-0.205227883524483,2035,15
"837",-0.208560290094367,2036,15
"838",-0.213365420199629,2037,15
"839",-0.210596893705938,2038,15
"840",-0.204381953179993,2039,15
"841",NA,1984,16
"842",NA,1985,16
"843",NA,1986,16
"844",NA,1987,16
"845",NA,1988,16
"846",NA,1989,16
"847",NA,1990,16
"848",NA,1991,16
"849",NA,1992,16
"850",NA,1993,16
"851",NA,1994,16
"852",NA,1995,16
"853",NA,1996,16
"854",NA,1997,16
"855",NA,1998,16
"856",NA,1999,16
"857",NA,2000,16
"858",NA,2001,16
"859",NA,2002,16
"860",NA,2003,16
"861",NA,2004,16
"862",NA,2005,16
"863",NA,2006,16
"864",NA,2007,16
"865",NA,2008,16
"866",NA,2009,16
"867",NA,2010,16
"868",NA,2011,16
"869",NA,2012,16
"870",NA,2013,16
"871",NA,2014,16
"872",NA,2015,16
"873",NA,2016,16
"874",NA,2017,16
"875",NA,2018,16
"876",NA,2019,16
"877",-0.122410949610364,2020,16
"878",-0.165479223087424,2021,16
"879",-0.203142653662442,2022,16
"880",-0.218490435622405,2023,16
"881",-0.23250375033197,2024,16
"882",-0.248127929928222,2025,16
"883",-0.262067732836923,2026,16
"884",-0.299225917179774,2027,16
"885",-0.323398582572556,2028,16
"886",-0.338375687387512,2029,16
"887",-0.352508451706515,2030,16
"888",-0.365856984025471,2031,16
"889",-0.370524505990619,2032,16
"890",-0.374518207466056,2033,16
"891",-0.374358932704413,2034,16
"892",-0.372264595366629,2035,16
"893",-0.347844722508691,2036,16
"894",-0.306456427922584,2037,16
"895",-0.261977063286882,2038,16
"896",-0.221928895530921,2039,16
"897",NA,1984,17
"898",NA,1985,17
"899",NA,1986,17
"900",NA,1987,17
"901",NA,1988,17
"902",NA,1989,17
"903",NA,1990,17
"904",NA,1991,17
"905",NA,1992,17
"906",NA,1993,17
"907",NA,1994,17
"908",NA,1995,17
"909",NA,1996,17
"910",NA,1997,17
"911",NA,1998,17
"912",NA,1999,17
"913",NA,2000,17
"914",NA,2001,17
"915",NA,2002,17
"916",NA,2003,17
"917",NA,2004,17
"918",NA,2005,17
"919",NA,2006,17
"920",NA,2007,17
"921",NA,2008,17
"922",NA,2009,17
"923",NA,2010,17
"924",NA,2011,17
"925",NA,2012,17
"926",NA,2013,17
"927",NA,2014,17
"928",NA,2015,17
"929",NA,2016,17
"930",NA,2017,17
"931",NA,2018,17
"932",NA,2019,17
"933",-0.130857010354194,2020,17
"934",-0.164670011368409,2021,17
"935",-0.189033595038247,2022,17
"936",-0.218186179222904,2023,17
"937",-0.236640449230777,2024,17
"938",-0.261377946148464,2025,17
"939",-0.279693553825126,2026,17
"940",-0.337477502562999,2027,17
"941",-0.369944695266584,2028,17
"942",-0.386076651107247,2029,17
"943",-0.389196985725067,2030,17
"944",-0.380489488934016,2031,17
"945",-0.36399364615293,2032,17
"946",-0.34299873814461,2033,17
"947",-0.3167644126788,2034,17
"948",-0.290766435778097,2035,17
"949",-0.278107794092895,2036,17
"950",-0.267610546560326,2037,17
"951",-0.266121715255615,2038,17
"952",-0.264116739623693,2039,17
"953",NA,1984,18
"954",NA,1985,18
"955",NA,1986,18
"956",NA,1987,18
"957",NA,1988,18
"958",NA,1989,18
"959",NA,1990,18
"960",NA,1991,18
"961",NA,1992,18
"962",NA,1993,18
"963",NA,1994,18
"964",NA,1995,18
"965",NA,1996,18
"966",NA,1997,18
"967",NA,1998,18
"968",NA,1999,18
"969",NA,2000,18
"970",NA,2001,18
"971",NA,2002,18
"972",NA,2003,18
"973",NA,2004,18
"974",NA,2005,18
"975",NA,2006,18
"976",NA,2007,18
"977",NA,2008,18
"978",NA,2009,18
"979",NA,2010,18
"980",NA,2011,18
"981",NA,2012,18
"982",NA,2013,18
"983",NA,2014,18
"984",NA,2015,18
"985",NA,2016,18
"986",NA,2017,18
"987",NA,2018,18
"988",NA,2019,18
"989",-0.12511922925822,2020,18
"990",-0.155903660770479,2021,18
"991",-0.183680420578191,2022,18
"992",-0.204080281634225,2023,18
"993",-0.221549380054301,2024,18
"994",-0.24292574128948,2025,18
"995",-0.264815228803128,2026,18
"996",-0.309260638909313,2027,18
"997",-0.344111007829874,2028,18
"998",-0.3628169418425,2029,18
"999",-0.365252791013061,2030,18
"1000",-0.362828461442525,2031,18
"1001",-0.346255042449732,2032,18
"1002",-0.328540348010967,2033,18
"1003",-0.303951292471434,2034,18
"1004",-0.287465899097566,2035,18
"1005",-0.271444414668536,2036,18
"1006",-0.263280528941056,2037,18
"1007",-0.252529114694127,2038,18
"1008",-0.258812873711384,2039,18
